stime,proto,sip,dip,uplink_length,downlink_length
2017-11-01 09:21:05,smtp,10.116.216.71,10.5.71.60,191,172
2017-11-01 09:21:31,smtp,10.116.216.72,10.5.71.60,151,203
2017-11-01 09:21:58,smtp,125.112.226.59,10.5.71.60,179,265
2017-11-01 09:22:31,smtp,10.116.216.72,10.5.71.60,195,106
2017-11-01 09:22:47,smtp,10.116.216.71,10.5.71.60,183,260
2017-11-01 09:23:00,smtp,10.116.216.71,10.5.71.60,185,204
2017-11-01 09:23:50,smtp,219.142.78.230,10.5.71.60,132,121
2017-11-01 09:24:04,smtp,10.116.216.73,10.5.71.60,103,205
2017-11-01 09:25:25,smtp,10.116.216.71,10.5.71.60,135,181
2017-11-01 09:25:39,smtp,10.116.216.72,10.5.71.60,193,227
2017-11-01 09:25:53,smtp,10.116.216.71,10.5.71.60,101,104
2017-11-01 09:26:18,smtp,10.64.105.235,10.5.71.60,115,216
2017-11-01 09:26:35,smtp,125.112.225.185,10.5.71.60,112,389
2017-11-01 09:26:45,smtp,10.116.216.71,10.5.71.60,141,309
2017-11-01 09:27:11,smtp,10.116.216.71,10.5.71.60,168,202
2017-11-01 09:27:58,smtp,219.142.78.230,10.5.71.60,174,228
2017-11-01 09:28:46,smtp,10.116.216.71,10.5.71.60,123,184
2017-11-01 09:30:30,smtp,219.142.78.230,10.5.71.60,125,106
2017-11-01 09:31:07,smtp,60.182.126.242,10.5.71.60,117,228
2017-11-01 09:31:38,smtp,10.116.216.72,10.5.71.60,160,240
2017-11-01 09:32:22,smtp,10.116.216.72,10.5.71.60,181,380
2017-11-01 09:33:13,smtp,10.64.106.7,10.5.71.60,110,187
2017-11-01 09:33:36,smtp,10.116.216.71,10.5.71.60,185,253
2017-11-01 09:34:19,smtp,10.116.216.71,10.5.71.60,121,378
2017-11-01 09:35:04,smtp,10.116.216.73,10.5.71.60,151,156
2017-11-01 09:36:34,smtp,10.64.106.3,10.5.71.60,101,255
2017-11-01 09:36:47,smtp,10.116.216.71,10.5.71.60,116,378
2017-11-01 09:37:12,smtp,60.182.73.177,10.5.71.60,104,234
2017-11-01 09:37:33,smtp,10.116.216.72,10.5.71.60,173,137
2017-11-01 09:38:00,smtp,10.116.216.71,10.5.71.60,108,303
2017-11-01 09:38:01,smtp,10.64.105.122,10.5.71.60,182,150
2017-11-01 09:38:20,smtp,10.116.216.71,10.5.71.60,117,395
2017-11-01 09:38:25,smtp,10.116.216.71,10.5.71.60,148,145
2017-11-01 09:38:49,smtp,10.116.216.72,10.5.71.60,167,390
2017-11-01 09:39:16,smtp,10.116.216.71,10.5.71.60,101,267
2017-11-01 09:39:45,smtp,10.116.216.71,10.5.71.60,163,374
2017-11-01 09:39:48,smtp,10.116.216.71,10.5.71.60,117,311
2017-11-01 09:40:33,smtp,10.116.216.72,10.5.71.60,136,246
2017-11-01 09:40:49,smtp,10.116.216.71,10.5.71.60,103,153
2017-11-01 09:41:08,smtp,10.116.216.71,10.5.71.60,168,196
2017-11-01 09:41:44,smtp,10.116.216.73,10.5.71.60,176,196
2017-11-01 09:41:59,smtp,10.64.106.42,10.5.71.60,107,174
2017-11-01 09:42:28,smtp,10.116.216.71,10.5.71.60,101,236
2017-11-01 09:42:33,smtp,10.116.216.71,10.5.71.60,143,367
2017-11-01 09:42:49,smtp,10.116.216.71,10.5.71.60,157,348
2017-11-01 09:44:33,smtp,111.202.126.72,10.5.71.60,164,152
2017-11-01 09:44:37,smtp,111.202.126.72,10.5.71.60,152,159
2017-11-01 09:45:11,smtp,218.0.69.130,10.5.71.60,107,257
2017-11-01 09:45:19,smtp,10.116.216.71,10.5.71.60,121,217
2017-11-01 09:45:29,smtp,10.64.105.83,10.5.71.60,191,336
2017-11-01 09:45:33,smtp,10.116.216.72,10.5.71.60,145,373
2017-11-01 09:45:38,smtp,10.116.216.72,10.5.71.60,130,260
2017-11-01 09:45:43,smtp,10.116.216.71,10.5.71.60,121,320
2017-11-01 09:45:48,smtp,10.116.216.71,10.5.71.60,123,174
2017-11-01 09:46:50,smtp,10.64.105.8,10.5.71.60,109,188
2017-11-01 09:47:05,smtp,10.64.106.7,10.5.71.60,169,184
2017-11-01 09:47:18,smtp,10.116.216.72,10.5.71.60,138,280
2017-11-01 09:47:22,smtp,10.116.216.73,10.5.71.60,190,356
2017-11-01 09:49:29,smtp,10.116.216.71,10.5.71.60,191,384
2017-11-01 09:49:39,smtp,10.116.216.71,10.5.71.60,164,181
2017-11-01 09:49:51,smtp,10.116.216.71,10.5.71.60,174,326
2017-11-01 09:50:10,smtp,10.64.105.198,10.5.71.60,172,330
2017-11-01 09:50:18,smtp,10.116.216.71,10.5.71.60,101,160
2017-11-01 09:50:19,smtp,10.116.216.71,10.5.71.60,111,123
2017-11-01 09:50:28,smtp,60.182.126.242,10.5.71.60,161,159
2017-11-01 09:50:37,smtp,10.116.216.71,10.5.71.60,169,254
2017-11-01 09:50:52,smtp,10.116.216.71,10.5.71.60,152,149
2017-11-01 09:50:58,smtp,10.64.106.5,10.5.71.60,140,181
2017-11-01 09:50:58,smtp,10.116.216.71,10.5.71.60,146,322
2017-11-01 09:51:30,smtp,10.64.106.4,10.5.71.60,161,279
2017-11-01 09:52:04,smtp,10.116.216.71,10.5.71.60,175,134
2017-11-01 09:52:24,smtp,125.112.226.59,10.5.71.60,127,181
2017-11-01 09:53:37,smtp,10.116.216.72,10.5.71.60,198,376
2017-11-01 09:53:48,smtp,10.116.216.71,10.5.71.60,191,241
2017-11-01 09:54:58,smtp,10.116.216.73,10.5.71.60,192,211
2017-11-01 09:55:03,smtp,10.64.106.38,10.5.71.60,107,352
2017-11-01 09:55:09,smtp,10.116.216.72,10.5.71.60,130,337
2017-11-01 09:55:23,smtp,10.116.216.72,10.5.71.60,126,101
2017-11-01 09:56:00,smtp,10.116.216.72,10.5.71.60,183,175
2017-11-01 09:56:02,smtp,222.189.244.116,10.5.71.60,162,291
2017-11-01 09:56:46,smtp,10.116.216.73,10.5.71.60,159,129
2017-11-01 09:57:42,smtp,10.64.106.8,10.5.71.60,121,268
2017-11-01 09:57:57,smtp,10.116.216.71,10.5.71.60,131,275
2017-11-01 09:58:00,smtp,10.116.216.72,10.5.71.60,152,171
2017-11-01 09:58:09,smtp,10.64.105.81,10.5.71.60,151,385
2017-11-01 09:58:19,smtp,10.116.216.71,10.5.71.60,135,266
2017-11-01 09:58:27,smtp,10.116.216.73,10.5.71.60,169,186
2017-11-01 09:58:47,smtp,10.64.106.23,10.5.71.60,136,229
2017-11-01 09:59:04,smtp,10.64.105.243,10.5.71.60,107,255
